Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Pneumonia Deaths,Influenza Deaths,Total Deaths
2/1/20,5/16/20,United States,All Sexes,Under 1 year,3,41,13,4651
2/1/20,5/16/20,United States,All Sexes,1-4 years,2,36,38,899
2/1/20,5/16/20,United States,All Sexes,5-14 years,7,43,44,1335
2/1/20,5/16/20,United States,All Sexes,15-24 years,76,173,46,8165
2/1/20,5/16/20,United States,All Sexes,25-34 years,463,619,138,17447
2/1/20,5/16/20,United States,All Sexes,35-44 years,1186,1402,218,25039
2/1/20,5/16/20,United States,All Sexes,45-54 years,3338,3723,542,48308
2/1/20,5/16/20,United States,All Sexes,55-64 years,8312,10658,1154,115249
2/1/20,5/16/20,United States,All Sexes,65-74 years,14447,18387,1359,178278
2/1/20,5/16/20,United States,All Sexes,75-84 years,18621,24195,1377,223254
2/1/20,5/16/20,United States,All Sexes,85 years and over,22543,28167,1294,284444
2/1/20,5/16/20,United States,All Sexes Total,All Ages,68998,87444,6223,907069
2/1/20,5/16/20,United States,Male,Under 1 year,2,29,7,2567
2/1/20,5/16/20,United States,Male,1-4 years,1,20,22,507
2/1/20,5/16/20,United States,Male,5-14 years,5,20,18,792
2/1/20,5/16/20,United States,Male,15-24 years,51,105,24,6038
2/1/20,5/16/20,United States,Male,25-34 years,318,380,71,12113
2/1/20,5/16/20,United States,Male,35-44 years,862,915,115,16360
2/1/20,5/16/20,United States,Male,45-54 years,2370,2332,320,30079
2/1/20,5/16/20,United States,Male,55-64 years,5522,6484,660,70708
2/1/20,5/16/20,United States,Male,65-74 years,9090,10990,752,103435
2/1/20,5/16/20,United States,Male,75-84 years,10358,13395,681,116074
2/1/20,5/16/20,United States,Male,85 years and over,9132,12356,526,110142
2/1/20,5/16/20,United States,Male Total,"Male, all ages",37711,47026,3196,468815
2/1/20,5/16/20,United States,Female,Under 1 year,1,12,6,2078
2/1/20,5/16/20,United States,Female,1-4 years,1,16,16,392
2/1/20,5/16/20,United States,Female,5-14 years,2,23,26,543
2/1/20,5/16/20,United States,Female,15-24 years,25,68,22,2126
2/1/20,5/16/20,United States,Female,25-34 years,145,239,67,5333
2/1/20,5/16/20,United States,Female,35-44 years,324,487,103,8676
2/1/20,5/16/20,United States,Female,45-54 years,968,1391,222,18227
2/1/20,5/16/20,United States,Female,55-64 years,2790,4174,494,44540
2/1/20,5/16/20,United States,Female,65-74 years,5357,7397,607,74840
2/1/20,5/16/20,United States,Female,75-84 years,8263,10800,696,107176
2/1/20,5/16/20,United States,Female,85 years and over,13410,15810,768,174291
2/1/20,5/16/20,United States,Female Total,"Female, all ages",31286,40417,3027,438222
2/1/20,5/16/20,United States,Unknown,All ages,1,1,0,32
2/1/20,5/16/20,United States Total,All sexes,All Ages,68998,87444,6223,907069
2/1/20,5/16/20,Alabama,Male,Under 1 year,0,0,,42
2/1/20,5/16/20,Alabama,Male,1-4 years,0,0,0,12
2/1/20,5/16/20,Alabama,Male,5-14 years,0,0,0,18
2/1/20,5/16/20,Alabama,Male,15-24 years,0,,,121
2/1/20,5/16/20,Alabama,Male,25-34 years,,,,203
2/1/20,5/16/20,Alabama,Male,35-44 years,,15,,305
2/1/20,5/16/20,Alabama,Male,45-54 years,21,27,,589
2/1/20,5/16/20,Alabama,Male,55-64 years,27,90,15,1381
2/1/20,5/16/20,Alabama,Male,65-74 years,59,138,14,1927
2/1/20,5/16/20,Alabama,Male,75-84 years,55,166,,1981
2/1/20,5/16/20,Alabama,Male,85 years and over,52,107,,1455
2/1/20,5/16/20,Alabama,Male Total,"Male, all ages",217,550,53,8034
2/1/20,5/16/20,Alabama,Female,Under 1 year,0,0,0,32
2/1/20,5/16/20,Alabama,Female,1-4 years,0,0,,13
2/1/20,5/16/20,Alabama,Female,5-14 years,0,,0,11
2/1/20,5/16/20,Alabama,Female,15-24 years,0,,0,45
2/1/20,5/16/20,Alabama,Female,25-34 years,,,,97
2/1/20,5/16/20,Alabama,Female,35-44 years,,,,175
2/1/20,5/16/20,Alabama,Female,45-54 years,,23,,389
2/1/20,5/16/20,Alabama,Female,55-64 years,22,82,,929
2/1/20,5/16/20,Alabama,Female,65-74 years,39,85,11,1456
2/1/20,5/16/20,Alabama,Female,75-84 years,50,125,,1950
2/1/20,5/16/20,Alabama,Female,85 years and over,39,120,,2400
2/1/20,5/16/20,Alabama,Female Total,"Female, all ages",162,446,35,7497
2/1/20,5/16/20,Alabama,Unknown,All ages,0,0,0,0
2/1/20,5/16/20,Alabama Total,All sexes,All Ages,379,996,88,15531
2/1/20,5/16/20,Alaska,Male,Under 1 year,0,0,0,
2/1/20,5/16/20,Alaska,Male,1-4 years,0,0,0,0
2/1/20,5/16/20,Alaska,Male,5-14 years,0,0,0,
2/1/20,5/16/20,Alaska,Male,15-24 years,0,0,0,22
